locus,gene_weight,gene_name,gene_product,COG,operon,regulator,mce3R,link
Rv1967,0.18235105370000002,mce3B,Mce family protein Mce3B,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0047c,Rv0081,Rv0324,Rv0328,Rv0767c,Rv1219c,Rv1353c,pyrR,Rv1776c,Rv1816,mce3R,mbcA,Rv2011c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1967
Rv1968,0.1792054095,mce3C,Mce family protein Mce3C,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,Rv0767c,csoR,Rv1353c,pyrR,Rv1776c,Rv1816,Rv2011c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1968
Rv1969,0.1630279439,mce3D,Mce family protein Mce3D,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0767c,csoR,trcR,sigI,Rv1353c,pyrR,Rv1719,Rv1776c,Rv1816,higA,mbcA,Rv2011c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1969
Rv1966,0.1549058395,mce3A,Mce family protein Mce3A,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,Rv0767c,csoR,Rv1353c,pyrR,Rv1776c,Rv1816,mce3R,mbcA,Rv2011c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1966
Rv1965,0.1506785135,yrbE3B,integral membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0047c,Rv0081,Rv0324,Rv0328,Rv0678,Rv1353c,Rv1776c,higA,mce3R,mbcA,Rv2011c,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1965
Rv1964,0.1497118354,yrbE3A,integral membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0324,Rv0328,Rv0494,Rv0678,csoR,mprA,mprB,Rv1353c,Rv1776c,Rv1816,mce3R,mbcA,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv1964
Rv1970,0.1463987416,lprM,Mce family lipoprotein LprM,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,Rv0767c,csoR,Rv1353c,Rv1776c,Rv1816,mce3R,mbcA,Rv2011c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1970
Rv1971,0.14173128000000002,mce3F,Mce family protein Mce3F,"Secondary metabolites biosynthesis, transport, and catabolism",Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,Rv0767c,Rv1353c,Rv1719,Rv1776c,Rv1816,mce3R,mbcA,Rv2011c,Rv3488,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1971
Rv1974,0.1262738275,Rv1974,membrane protein,Function unknown,Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,Rv0678,Rv0767c,csoR,Rv1353c,Rv1719,Rv1776c,Rv1816,mbcA,Rv2011c,Rv2021c,Rv2250c,sigH,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1974
Rv1939,0.1225129363,Rv1939,oxidoreductase,Function unknown,Op1219,"Rv0023,Rv0081,Rv0324,trcR,mce3R,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv1939
Rv1973,0.1212572533,Rv1973,Mce associated membrane protein,"Post-translational modification, protein turnover,and chaperones",Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0767c,csoR,Rv1353c,Rv1719,Rv1776c,Rv1816,mce3R,mbcA,Rv2011c,Rv2021c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1973
Rv1972,0.1187478571,Rv1972,Mce associated membrane protein,No COG annotation,Op1233,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,Rv0767c,csoR,Rv1719,Rv1776c,Rv1816,mce3R,mbcA,Rv2011c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1972
Rv1935c,0.1146683284,echA13,enoyl-CoA hydratase EchA13,Lipid transport and metabolism,Op1218,"Rv0023,Rv0081,Rv0324,Rv0494,Rv0678,trcR,Rv1719,Rv1816,mce3R,Rv3249c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1935c
Rv1936,0.11308769240000001,Rv1936,monooxygenase,Energy production and conversion,Op1219,"whiB5,Rv1353c,Rv1719,mce3R",True,https://mycobrowser.epfl.ch/genes/Rv1936
Rv1937,0.1091043924,Rv1937,oxygenase,Energy production and conversion,Op1219,"Rv0023,Rv0081,Rv0324,Rv0494,csoR,Rv1353c,mce3R,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1937
