,name,x,y,cog,color,link
meta,start,0.09311354368935801,,,,
Rv0001,dnaA,1,0.0158331533,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0047566864000000006,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0214742115,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,-0.0197025391,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0077725602000000005,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.0010728265,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0030991508,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0013151262,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.016248233,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,0.0072000426000000005,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.0312221056,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-0.0034815510000000003,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.0045328801,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,0.0045194049,Transcription,#000000,
Rv0015c,pknA,17467,0.0071535483000000006,Transcription,#000000,
Rv0016c,pbpA,18759,-0.004518711,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,0.012274990900000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,0.0061307883,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0042807797,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,0.0052217056,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,0.0064186407000000004,Function unknown,#0000ff,
Rv0022c,whiB5,27023,0.016895754500000002,Transcription,#000000,
Rv0023,Rv0023,27595,-0.0074176905,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0073879184,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0086058166,Function unknown,#0000ff,
Rv0026,Rv0026,29722,0.0018376136,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.0115005239,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.0109011581,Function unknown,#0000ff,
Rv0029,Rv0029,32057,0.0075964886,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.0032355386000000002,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.0060759276,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,0.0006919970000000001,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.007356841,Function unknown,#0000ff,
Rv0035,fadD34,37259,-0.0036982618000000003,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,0.0004839231,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,0.012271275100000001,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,0.0133992556,Transcription,#000000,
