,name,x,y,cog,color,link
meta,start,0.051345579051216006,,,,
Rv0001,dnaA,1,-0.0046526225,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0070659893000000005,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,0.0006202527,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0004139815,Function unknown,#0000ff,
Rv0005,gyrB,5240,-0.0081832624,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-0.0058879311,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0138182018,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0093564449,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,-0.0058006496,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,0.005863750300000001,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.0050069105000000004,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-0.0027983631,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.0062239866,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,1.0794300000000001e-05,Transcription,#000000,
Rv0015c,pknA,17467,0.0035475182,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0052735906,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,0.0008183411,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-6.46523e-05,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,0.0090899831,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0001259201,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0053374077,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0363168227,Transcription,#000000,
Rv0023,Rv0023,27595,-0.030501921,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0035124354,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0234655081,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.008521668500000001,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.0028407678,Function unknown,#0000ff,
Rv0028,Rv0028,31514,0.018095475700000002,Function unknown,#0000ff,
Rv0029,Rv0029,32057,0.0048432654,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,0.0053247739,Function unknown,#0000ff,
Rv0032,bioF2,34295,8.65133e-05,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,0.0203518736,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0060371575,Function unknown,#0000ff,
Rv0035,fadD34,37259,-0.0017525831,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,0.0040703085000000005,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,0.0050787376,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,-0.0021409394000000003,Transcription,#000000,
Rv0039c,Rv0039c,42004,0.024135711600000002,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,-0.0042474148,Function unknown,#0000ff,
Rv0041,leuS,43562,-0.002385616,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,0.0019804515,Transcription,#000000,
Rv0043c,Rv0043c,47366,-0.00022708220000000002,Transcription,#000000,
Rv0044c,Rv0044c,48233,0.0031557558,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,0.0023304357000000003,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,-0.0104279924,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.0131139479,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.0095181115,Function unknown,#0000ff,
Rv0049,Rv0049,52831,0.0114009726,Function unknown,#0000ff,
Rv0050,ponA1,53663,0.0071984759,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,0.0013462644000000001,Function unknown,#0000ff,
Rv0052,Rv0052,57410,-0.0046120477,Function unknown,#0000ff,
