k,Name,in_iM,gene_weight,Regulator,Function,Category
63,SG_9,False,0.0565579203,,Single Gene iModulon 9,Single Gene
12,Mycofactocin Synthesis Pathway,False,0.049013773100000005,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
24,Salicylate Induced,False,-0.0451224529,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
13,SG_1,False,0.0304095331,,Single Gene iModulon 1,Single Gene
53,Rv1776c+WhiB4,False,0.0283291666,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
16,Mce3R,False,0.0281645206,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
38,SG_5,False,-0.0273625919,,Single Gene iModulon 5,Single Gene
58,Zur,False,-0.0272060103,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
46,Rv2621c,False,-0.0271270409,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
40,KstR2,False,0.026876026,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
7,GroEL-GroES Complex,False,-0.026396738000000003,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
66,M-box,False,-0.0247877524,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
2,IniR,False,0.023622344400000002,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
65,SG_10,False,-0.0233304355,,Single Gene iModulon 10,Single Gene
77,Central Carbon Metabolism,False,-0.0218814004,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
30,HPT-2b Induced,False,-0.0214694604,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
25,Rv0078+Rv2034,False,0.021081869200000002,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
36,Fumarate Reductase,False,0.0205697484,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
45,SigD,False,0.0194683483,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
23,PrpR,False,0.0192669493,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
26,EspL KO,False,0.019142077400000002,,Single Gene iModulon that captures EspL knockout,KO
76,SG_13,False,-0.0187976475,,Single Gene iModulon 13,Single Gene
14,SG_2,False,0.017769468,,Single Gene iModulon 2,Single Gene
1,Polyketide Synthase Complex,False,-0.0176740747,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
72,Unc_8,False,-0.016809707,,Uncharacterized iModulon 8,Uncharacterized
9,SigK,False,0.016229957700000002,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function
79,WhiB4/IdeR,False,0.015419645000000001,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
22,SG_3,False,-0.0148445296,,Single Gene iModulon 3,Single Gene
69,Rv0135+Rv1019,False,-0.0136173592,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
39,SigC,False,0.0133276244,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
0,SigH,False,-0.0123530232,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
42,Nicotinate Metabolism,False,-0.012143409400000001,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
33,SG_4,False,0.0114830038,,Single Gene iModulon 4,Single Gene
32,Unc_3,False,-0.011449527400000001,,Uncharacterized iModulon 3,Uncharacterized
56,Fatty Acid Biosynthesis,False,-0.011395950200000001,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
60,Rv0681,False,0.0111035464,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
55,WhiB7,False,0.010785707,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
18,Unc_1,False,-0.0103797113,,Uncharacterized iModulon 1,Uncharacterized
74,SG_12,False,0.0099609984,,Single Gene iModulon 12,Single Gene
47,SG_7,False,0.009897621300000001,,Single Gene iModulon 7,Single Gene
11,EccE1 KO,False,-0.0094476362,,Single Gene iModulon that captures EccE1 knockout,KO
62,Rv2488c,False,-0.0092883466,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
29,Blal,False,0.0090320673,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
75,Unc_9,False,0.008435130400000001,,Uncharacterized iModulon 9,Uncharacterized
