k,Name,in_iM,gene_weight,Regulator,Function,Category
3,PyrR,True,0.1158699482,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
75,Unc_9,False,0.0677570447,,Uncharacterized iModulon 9,Uncharacterized
32,Unc_3,False,-0.0596335892,,Uncharacterized iModulon 3,Uncharacterized
13,SG_1,False,0.052909877800000005,,Single Gene iModulon 1,Single Gene
54,Unc_7,False,0.0495860735,,Uncharacterized iModulon 7,Uncharacterized
12,Mycofactocin Synthesis Pathway,False,0.0407243024,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
76,SG_13,False,0.038905217400000004,,Single Gene iModulon 13,Single Gene
62,Rv2488c,False,-0.0351030177,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
15,BkaR,False,0.0324613388,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
71,PDIM;PGL Synthesis,False,-0.0321797327,,Manually annotated iModulon that captures genes associated with PDIM and PGL synthesis,Virulence/Persistence
40,KstR2,False,-0.0312253317,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
27,Unc_2,False,0.0309651848,,Uncharacterized iModulon 2,Uncharacterized
55,WhiB7,False,0.0300918192,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
53,Rv1776c+WhiB4,False,0.030029068500000002,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
23,PrpR,False,-0.0298674771,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
73,SG_11,False,-0.029836329,,Single Gene iModulon 11,Single Gene
33,SG_4,False,-0.0285342797,,Single Gene iModulon 4,Single Gene
74,SG_12,False,-0.027445112,,Single Gene iModulon 12,Single Gene
18,Unc_1,False,-0.0252567139,,Uncharacterized iModulon 1,Uncharacterized
68,Sulfur Metabolism,False,0.0241138447,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
51,PhoP,False,0.0209105838,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
8,IdeR,False,-0.0192398131,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related
2,IniR,False,0.0186060442,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
37,Rv3095,False,0.0175327154,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
25,Rv0078+Rv2034,False,0.017444562900000002,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
14,SG_2,False,0.0171777137,,Single Gene iModulon 2,Single Gene
30,HPT-2b Induced,False,0.0163894622,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
59,Rv0576,False,-0.0152666329,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
70,Lsr2,False,0.0149946524,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
49,Rv1828/SigH,False,-0.0143760303,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
64,Mce1R,False,-0.0139393485,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
35,Unc_4,False,0.01385641,,Uncharacterized iModulon 4,Uncharacterized
20,FasR,False,-0.0136762791,fasR,Transcription factor that controls the expression of fatty acid metabolism genes,Fatty Acid/Cholestrol
57,SG_8,False,-0.0136507528,,Single Gene iModulon 8,Single Gene
44,SG_6,False,0.0134321044,,Single Genes iModulon 6,Single Gene
1,Polyketide Synthase Complex,False,0.0133443786,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
39,SigC,False,0.0130973132,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
65,SG_10,False,-0.0119398019,,Single Gene iModulon 10,Single Gene
4,WhiB4,False,0.0112670688,whiB4,Redox-Responsive transcription regulator that regulates protection response during infection,Redox
38,SG_5,False,0.011029699,,Single Gene iModulon 5,Single Gene
21,MprA,False,-0.0107826604,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
52,DevR-2,False,0.010615295,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
56,Fatty Acid Biosynthesis,False,-0.0103319529,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
43,LysG,False,0.0101911174,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
50,Unc_6,False,0.010159066000000001,,Uncharacterized iModulon 6,Uncharacterized
45,SigD,False,0.010032816,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
67,Peptidoglycan Biosynthesis,False,0.0100096799,,iModulon enriched with the Peptidoglycan biosyntehsis KEGG pathway,Central Carbon
0,SigH,False,-0.008965150100000001,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
34,MbcA+Rv3249c+Rv3066,False,0.0088632868,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
78,Positive Regulation of Growth,False,-0.0085347471,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
41,Unc_5,False,0.008525215000000001,,Uncharacterized iModulon 5,Uncharacterized
16,Mce3R,False,0.0084553865,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
29,Blal,False,-0.0081188676,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
66,M-box,False,-0.0080329149,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
10,RicR,False,-0.007250515700000001,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
24,Salicylate Induced,False,0.0069137097,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
47,SG_7,False,-0.0062957706,,Single Gene iModulon 7,Single Gene
