k,Name,in_iM,gene_weight,Regulator,Function,Category
28,WhiB1,True,0.0857102093,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
77,Central Carbon Metabolism,False,-0.033338208700000004,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
24,Salicylate Induced,False,-0.0323621071,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
35,Unc_4,False,-0.0288795456,,Uncharacterized iModulon 4,Uncharacterized
68,Sulfur Metabolism,False,0.0239975366,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
71,PDIM;PGL Synthesis,False,0.0231526079,,Manually annotated iModulon that captures genes associated with PDIM and PGL synthesis,Virulence/Persistence
21,MprA,False,0.021723621000000002,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
31,ArgR,False,0.0211112951,argR,Transcription factor that regulates the L-arginine biosynthesis pathways,Amino Acids
40,KstR2,False,0.0186455383,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
42,Nicotinate Metabolism,False,-0.0175671737,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
29,Blal,False,-0.0171857618,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
64,Mce1R,False,0.0163478038,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
4,WhiB4,False,0.016133433500000002,whiB4,Redox-Responsive transcription regulator that regulates protection response during infection,Redox
49,Rv1828/SigH,False,-0.0155607225,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
50,Unc_6,False,-0.015536161000000001,,Uncharacterized iModulon 6,Uncharacterized
69,Rv0135+Rv1019,False,0.015476264000000002,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
37,Rv3095,False,0.0154214252,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
66,M-box,False,-0.0121647438,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
53,Rv1776c+WhiB4,False,0.0116841387,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
9,SigK,False,-0.0116106649,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function
27,Unc_2,False,-0.0113614439,,Uncharacterized iModulon 2,Uncharacterized
32,Unc_3,False,0.0112355261,,Uncharacterized iModulon 3,Uncharacterized
62,Rv2488c,False,0.0105896587,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
60,Rv0681,False,-0.009735193100000001,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
36,Fumarate Reductase,False,-0.009387191900000001,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
2,IniR,False,-0.0093236121,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
73,SG_11,False,-0.0093160393,,Single Gene iModulon 11,Single Gene
33,SG_4,False,-0.009250089100000001,,Single Gene iModulon 4,Single Gene
51,PhoP,False,-0.008972775300000001,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
45,SigD,False,-0.0087778106,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
70,Lsr2,False,-0.008724385500000001,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
25,Rv0078+Rv2034,False,-0.0085986206,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
43,LysG,False,0.0078956506,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
47,SG_7,False,0.007292921900000001,,Single Gene iModulon 7,Single Gene
1,Polyketide Synthase Complex,False,0.0071037291,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
41,Unc_5,False,0.007099558200000001,,Uncharacterized iModulon 5,Uncharacterized
46,Rv2621c,False,0.0067682744000000005,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
52,DevR-2,False,-0.0066744368,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
8,IdeR,False,-0.006591994,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related
48,Leucine Related,False,-0.0064504301000000005,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
14,SG_2,False,0.0063476900000000005,,Single Gene iModulon 2,Single Gene
0,SigH,False,-0.0061689753,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
16,Mce3R,False,-0.0060808689,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
65,SG_10,False,-0.0050043185,,Single Gene iModulon 10,Single Gene
75,Unc_9,False,0.0048557733,,Uncharacterized iModulon 9,Uncharacterized
54,Unc_7,False,0.004849507800000001,,Uncharacterized iModulon 7,Uncharacterized
57,SG_8,False,-0.0044640252,,Single Gene iModulon 8,Single Gene
38,SG_5,False,0.0044326446000000005,,Single Gene iModulon 5,Single Gene
20,FasR,False,0.0044305674,fasR,Transcription factor that controls the expression of fatty acid metabolism genes,Fatty Acid/Cholestrol
59,Rv0576,False,0.0043487343000000005,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
55,WhiB7,False,-0.0041770207,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
61,Nucleic Acid Hydrolysis ,False,0.0041399339,,iModulon enriched with the Nucleic Acid Hydrolysis KEGG pathway,Nucleic Acids
56,Fatty Acid Biosynthesis,False,0.004094656,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
6,MarR,False,0.0040362242,marR,Transcription factor that regulates the response to acid stress,Acid Stress
79,WhiB4/IdeR,False,-0.0040160034,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
26,EspL KO,False,0.0035230847,,Single Gene iModulon that captures EspL knockout,KO
30,HPT-2b Induced,False,-0.0034787472,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
11,EccE1 KO,False,-0.0034144733,,Single Gene iModulon that captures EccE1 knockout,KO
13,SG_1,False,-0.0031771126,,Single Gene iModulon 1,Single Gene
72,Unc_8,False,-0.0028044013000000003,,Uncharacterized iModulon 8,Uncharacterized
74,SG_12,False,0.0026445119000000003,,Single Gene iModulon 12,Single Gene
58,Zur,False,0.0023508816,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
78,Positive Regulation of Growth,False,-0.0020550351000000002,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
3,PyrR,False,-0.0019409064,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
5,DevR-1,False,0.0018168904,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
17,VirS,False,0.0017029215,virS,Transcription factor that is activated and responds to acidic environments,Redox
10,RicR,False,0.0016977636000000001,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
18,Unc_1,False,0.0014601256,,Uncharacterized iModulon 1,Uncharacterized
34,MbcA+Rv3249c+Rv3066,False,-0.0014307793,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
7,GroEL-GroES Complex,False,-0.0014257777,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
44,SG_6,False,-0.0013899944,,Single Genes iModulon 6,Single Gene
15,BkaR,False,-0.0010051213,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
63,SG_9,False,0.0008815132000000001,,Single Gene iModulon 9,Single Gene
76,SG_13,False,-0.0007825713,,Single Gene iModulon 13,Single Gene
22,SG_3,False,0.0007792478,,Single Gene iModulon 3,Single Gene
67,Peptidoglycan Biosynthesis,False,0.0007149169,,iModulon enriched with the Peptidoglycan biosyntehsis KEGG pathway,Central Carbon
39,SigC,False,-0.0006008675,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
12,Mycofactocin Synthesis Pathway,False,0.00028572600000000004,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
