k,Name,in_iM,gene_weight,Regulator,Function,Category
64,Mce1R,False,0.024281161000000002,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
24,Salicylate Induced,False,-0.0232050273,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
67,Peptidoglycan Biosynthesis,False,-0.0218827039,,iModulon enriched with the Peptidoglycan biosyntehsis KEGG pathway,Central Carbon
30,HPT-2b Induced,False,-0.0154832413,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
35,Unc_4,False,0.0153103062,,Uncharacterized iModulon 4,Uncharacterized
37,Rv3095,False,-0.014754747700000001,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
71,PDIM;PGL Synthesis,False,0.014683543200000001,,Manually annotated iModulon that captures genes associated with PDIM and PGL synthesis,Virulence/Persistence
48,Leucine Related,False,0.014194027100000001,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
7,GroEL-GroES Complex,False,0.011590908700000001,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
60,Rv0681,False,-0.011088277300000001,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
49,Rv1828/SigH,False,-0.010959951800000001,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
18,Unc_1,False,0.0108395113,,Uncharacterized iModulon 1,Uncharacterized
77,Central Carbon Metabolism,False,0.0106521453,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
22,SG_3,False,0.0103775368,,Single Gene iModulon 3,Single Gene
56,Fatty Acid Biosynthesis,False,-0.0102833911,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
52,DevR-2,False,-0.0101524374,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
21,MprA,False,0.0099787505,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
50,Unc_6,False,-0.0097590986,,Uncharacterized iModulon 6,Uncharacterized
68,Sulfur Metabolism,False,0.0094109788,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
53,Rv1776c+WhiB4,False,0.0092623572,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
39,SigC,False,0.0086401441,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
74,SG_12,False,0.0083710216,,Single Gene iModulon 12,Single Gene
3,PyrR,False,-0.0081468875,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
42,Nicotinate Metabolism,False,-0.0077017689,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
62,Rv2488c,False,-0.00769651,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
69,Rv0135+Rv1019,False,0.007359506500000001,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
34,MbcA+Rv3249c+Rv3066,False,-0.007310350100000001,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
16,Mce3R,False,-0.0071369934000000005,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
44,SG_6,False,0.0065978344000000005,,Single Genes iModulon 6,Single Gene
70,Lsr2,False,-0.0063502775,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
57,SG_8,False,-0.0063053175,,Single Gene iModulon 8,Single Gene
32,Unc_3,False,0.006237448400000001,,Uncharacterized iModulon 3,Uncharacterized
72,Unc_8,False,0.0061525599,,Uncharacterized iModulon 8,Uncharacterized
15,BkaR,False,0.005833458000000001,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
75,Unc_9,False,-0.005714366,,Uncharacterized iModulon 9,Uncharacterized
26,EspL KO,False,-0.005666664,,Single Gene iModulon that captures EspL knockout,KO
12,Mycofactocin Synthesis Pathway,False,0.0055510333,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
6,MarR,False,-0.0055004624,marR,Transcription factor that regulates the response to acid stress,Acid Stress
23,PrpR,False,-0.0054791226000000005,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
46,Rv2621c,False,-0.0051712708,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
55,WhiB7,False,0.0050293953,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
38,SG_5,False,-0.0049983259,,Single Gene iModulon 5,Single Gene
43,LysG,False,0.0048899555,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
47,SG_7,False,-0.0048679257,,Single Gene iModulon 7,Single Gene
36,Fumarate Reductase,False,-0.0048538800000000005,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
29,Blal,False,0.0047510494,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
8,IdeR,False,-0.0045625816,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related
65,SG_10,False,0.0042368186,,Single Gene iModulon 10,Single Gene
1,Polyketide Synthase Complex,False,-0.0040719852,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
66,M-box,False,-0.0040408879,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
78,Positive Regulation of Growth,False,-0.0040024666,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
33,SG_4,False,-0.0039604965,,Single Gene iModulon 4,Single Gene
10,RicR,False,-0.0036286025,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
9,SigK,False,0.0035725902,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function
17,VirS,False,-0.0034686369,virS,Transcription factor that is activated and responds to acidic environments,Redox
19,WhiB6,False,-0.0033941039,whiB6,Transcription factor that regulates ESX-1 system membrane transport proteins,Redox
54,Unc_7,False,0.0033467088,,Uncharacterized iModulon 7,Uncharacterized
11,EccE1 KO,False,0.0032012580000000002,,Single Gene iModulon that captures EccE1 knockout,KO
59,Rv0576,False,-0.0029575633,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
2,IniR,False,0.0028170821000000003,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
63,SG_9,False,0.0027132877000000002,,Single Gene iModulon 9,Single Gene
51,PhoP,False,-0.0024817859,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
79,WhiB4/IdeR,False,-0.0023914336,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
