locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv1149,0.2924650371,Rv1149,transposase,"Replication, recombination and repair",Op749,"mprA,mprB",https://mycobrowser.epfl.ch/genes/Rv1149
Rv3117,0.26907051400000004,cysA3,thiosulfate sulfurtransferase,Inorganic ion transport and metabolism,Op1952,"Rv0081,trcR,mbcA,Rv2011c,sigH,Rv3249c,lsr2,Copper Induced",https://mycobrowser.epfl.ch/genes/Rv3117
Rv3798,0.2149877286,Rv3798,insertion sequence element IS1557 transposase,"Replication, recombination and repair",Op2380,"Rv0023,Rv0047c,Rv0135c,Rv0767c,Rv2642",https://mycobrowser.epfl.ch/genes/Rv3798
Rv3118,0.2077441709,Rv3118,hypothetical protein,Function unknown,Op1952,"Rv0081,phoP,Rv1473A,lsr2",https://mycobrowser.epfl.ch/genes/Rv3118
Rv1047,0.1549392244,Rv1047,transposase,"Replication, recombination and repair",Op680,"Rv0135c,Rv0238,Rv0485,Rv0576,csoR,Rv1353c,sigA,sirR,Rv2887,whiB2,groEL1,espR",https://mycobrowser.epfl.ch/genes/Rv1047
Rv3115,0.1347312503,Rv3115,transposase,"Replication, recombination and repair",Op1952,"Rv0135c,Rv0238,Rv0302,Rv0324,Rv0576,Rv1353c,sigA,sigB,sirR,Rv2887,whiB2,groEL1",https://mycobrowser.epfl.ch/genes/Rv3115
Rv1197,0.1125577896,esxK,ESAT-6 like protein EsxK,Function unknown,Op785,"Rv0047c,Rv0081,Rv0324,Rv0465c,Rv0678,mprA,mprB,sigE,Rv1353c,Rv1816,mbcA,Rv2011c,Rv2034,Rv2250c,Rv2887,devR,kstR,lsr2",https://mycobrowser.epfl.ch/genes/Rv1197
Rv3467,0.0965439797,Rv3467,hypothetical protein,Defense mechanisms,Op2171,"Rv0302,csoR,Rv2887,whiB4",https://mycobrowser.epfl.ch/genes/Rv3467
Rv1588c,-0.0883344717,Rv1588c,hypothetical protein,Defense mechanisms,Op1008,"Rv0324,csoR,Rv1049,sigI,Rv1219c,Rv1353c,Rv2720 ,Rv2887,whiB4",https://mycobrowser.epfl.ch/genes/Rv1588c
Rv1038c,-0.09329679810000001,esxJ,ESAT-6 like protein EsxJ,Function unknown,Op673,"Rv0081,Rv0678,phoP,mprA,mprB,Rv1255c,mbcA,Rv2250c,sigH,kstR",https://mycobrowser.epfl.ch/genes/Rv1038c
Rv1361c,-0.1022854279,PPE19,PPE family protein PPE19,Cell motility,Op882,"Rv0324,Rv0465c,Rv0678,mprA,mprB,Rv1255c,Rv1353c,Rv2011c,Rv2021c,mtrA,kstR,lsr2,whiB4,tcrX",https://mycobrowser.epfl.ch/genes/Rv1361c
Rv0094c,-0.1036731371,Rv0094c,hypothetical protein,Defense mechanisms,Op63,"Rv0135c,mprA,mprB,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv0094c
Rv0815c,-0.1259321217,cysA2,thiosulfate sulfurtransferase CysA,Inorganic ion transport and metabolism,Op522,"Rv0081,Rv0678,trcR,Rv1719,Rv1776c,mbcA,Rv2011c,devR,Rv3249c,lsr2,Copper Induced",https://mycobrowser.epfl.ch/genes/Rv0815c
Rv1041c,-0.1413286899,Rv1041c,IS2-like transposase,"Replication, recombination and repair",Op676,"Rv0047c,mprA,mprB,Rv1473A,Rv1816,mbcA,whiB2",https://mycobrowser.epfl.ch/genes/Rv1041c
Rv1313c,-0.14700352930000002,Rv1313c,insertion sequence element IS1557 transposase,"Replication, recombination and repair",Op856,"Rv0047c,Rv0678,csoR,whiA,lysG,mbcA,Rv2021c",https://mycobrowser.epfl.ch/genes/Rv1313c
Rv1042c,-0.1880664655,Rv1042c,IS2-like transposase,"Replication, recombination and repair",Op677,"Rv0047c,mprA,mprB",https://mycobrowser.epfl.ch/genes/Rv1042c
