,name,x,y,cog,color,link
meta,start,0.15656030031583,,,,
Rv0001,dnaA,1,-0.0115524792,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,0.0100294665,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,0.0027168498,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0140075634,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0031170352000000003,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.0058749478,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0049326682,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,0.0080506452,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,-0.0101782303,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,0.0024323546,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.011565782600000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.0059889641,Function unknown,#0000ff,
Rv0013,trpG,14914,0.0072686488,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,0.0033945683000000003,Transcription,#000000,
Rv0015c,pknA,17467,0.0121020897,Transcription,#000000,
Rv0016c,pbpA,18759,0.0034731319000000003,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.004137944,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,0.0002620017,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,0.0040514842,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,0.007855639000000001,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,0.0087506934,Function unknown,#0000ff,
Rv0022c,whiB5,27023,0.015336302500000001,Transcription,#000000,
Rv0023,Rv0023,27595,0.0091152713,Transcription,#000000,
Rv0024,Rv0024,28362,0.01285723,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,0.0155389276,Function unknown,#0000ff,
