,name,x,y,cog,color,link
meta,start,0.30465851412830347,,,,
Rv0001,dnaA,1,-0.0106027115,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0046567213000000005,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0052040742000000004,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0021634914,Function unknown,#0000ff,
Rv0005,gyrB,5240,-0.0004757248,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-0.0008129593,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.001218354,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0037225518,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0009174694,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0085299958,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.0079031481,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.0100697843,Function unknown,#0000ff,
Rv0013,trpG,14914,0.0052094938,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,0.0002920988,Transcription,#000000,
Rv0015c,pknA,17467,-0.0044218518,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0051785004,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,0.0050818479,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.0041719067,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0007133044,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0062711327,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0011443567,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.018728142,Transcription,#000000,
Rv0023,Rv0023,27595,-0.0073406041,Transcription,#000000,
Rv0024,Rv0024,28362,-0.017207694500000002,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0007550821,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.0066933438,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.0194077052,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.017633578,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0104630932,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.0065476703,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.0248645998,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,-0.0720074074,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0500660322,Function unknown,#0000ff,
Rv0035,fadD34,37259,-0.007163261000000001,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,-0.0104397312,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,-0.018587202100000002,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,0.0017284961,Transcription,#000000,
Rv0039c,Rv0039c,42004,4.0657e-06,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,-0.007804325500000001,Function unknown,#0000ff,
Rv0041,leuS,43562,-0.0029859849,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,-0.006640567500000001,Transcription,#000000,
Rv0043c,Rv0043c,47366,0.014615417,Transcription,#000000,
Rv0044c,Rv0044c,48233,-0.0014531286000000001,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,-0.0251641321,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,-0.0103998884,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.0089080734,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.0165850532,Function unknown,#0000ff,
Rv0049,Rv0049,52831,0.0013559846,Function unknown,#0000ff,
Rv0050,ponA1,53663,-0.0006285156,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,0.0019526284,Function unknown,#0000ff,
Rv0052,Rv0052,57410,0.0006076294000000001,Function unknown,#0000ff,
Rv0053,rpsF,58192,-0.0087921306,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0054,ssb,58586,-0.0019752982,"Replication, recombination and repair",#1e90ff,
Rv0055,rpsR1,59122,0.0068520521000000004,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0056,rplI,59409,-0.0013698351,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0057,Rv0057,59896,0.0039035719,No COG annotation,#00bfbf,
Rv0058,dnaB,60396,0.0070587358,"Replication, recombination and repair",#1e90ff,
Rv0059,Rv0059,63200,-0.0172461785,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0060,Rv0060,63909,-0.0083122965,Function unknown,#0000ff,
Rv0061c,Rv0061c,65012,-0.0049318152,No COG annotation,#00bfbf,
Rv0062,celA1,65552,-0.0083650799,Carbohydrate transport and metabolism,#ffc0cb,
Rv0063,Rv0063,66923,0.0016844762000000001,Energy production and conversion,#708090,
Rv0063a,Rv0063a,68418,0.0272474602,No COG annotation,#00bfbf,
Rv0064,Rv0064,68620,-0.002142016,Function unknown,#0000ff,
Rv0064A,vapB1,71589,-0.006622281900000001,No COG annotation,#00bfbf,
Rv0065,vapC1,71821,-0.0088296073,Nucleotide transport and metabolism,#87ceeb,
Rv0066c,icd2,72274,-0.0102533438,Energy production and conversion,#708090,
Rv0067c,Rv0067c,74629,-0.0078938143,Transcription,#000000,
Rv0068,Rv0068,75301,0.0047013578,Lipid transport and metabolism,#87cefa,
Rv0069c,sdaA,76237,0.0022624626,Amino acid transport and metabolism,#ff0000,
Rv0070c,glyA2,77619,-0.0085726176,Amino acid transport and metabolism,#ff0000,
Rv0071,Rv0071,79486,0.0034425075,"Replication, recombination and repair",#1e90ff,
Rv0072,Rv0072,80624,0.0011414845,Defense mechanisms,#90ee90,
Rv0073,Rv0073,81676,-0.0032503382000000003,Defense mechanisms,#90ee90,
