,name,x,y,cog,color,link
meta,start,0.0787365304200655,,,,
Rv0001,dnaA,1,0.0042583028000000005,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.006060157300000001,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0063176282000000005,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0011624897,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0011695028,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.0053130396000000005,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0091121814,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.008432437000000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,-0.0045891896,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0188354716,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.004728059000000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.0001400259,Function unknown,#0000ff,
Rv0013,trpG,14914,0.0005376522,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.0061889656000000005,Transcription,#000000,
Rv0015c,pknA,17467,0.0045607906000000005,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0037969459000000002,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.008089872100000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.0033753197,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0084182926,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0025337511,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0138690658,Function unknown,#0000ff,
Rv0022c,whiB5,27023,0.005218806,Transcription,#000000,
Rv0023,Rv0023,27595,-0.0089444752,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0199955926,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0137478111,Function unknown,#0000ff,
Rv0026,Rv0026,29722,0.0035127968,Function unknown,#0000ff,
Rv0027,Rv0027,31189,0.0168673258,Function unknown,#0000ff,
Rv0028,Rv0028,31514,0.013157842000000001,Function unknown,#0000ff,
Rv0029,Rv0029,32057,0.014261664600000001,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,0.003370123,Function unknown,#0000ff,
Rv0032,bioF2,34295,0.0016362503,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,0.0141996693,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,0.010994402,Function unknown,#0000ff,
Rv0035,fadD34,37259,0.0070023953,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,-0.0019337464,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,-0.0073559056000000005,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,-0.0086110834,Transcription,#000000,
Rv0039c,Rv0039c,42004,-9.02626e-05,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,-0.0033576847,Function unknown,#0000ff,
Rv0041,leuS,43562,0.0048093308,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,0.0026711860000000003,Transcription,#000000,
Rv0043c,Rv0043c,47366,0.0029408896,Transcription,#000000,
Rv0044c,Rv0044c,48233,-0.0010038468000000001,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,0.0047405802,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,-0.0048288126,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,0.0051072871,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.0029044635,Function unknown,#0000ff,
Rv0049,Rv0049,52831,-0.0033853447,Function unknown,#0000ff,
