,name,x,y,cog,color,link
meta,start,0.095777618215218,,,,
Rv0001,dnaA,1,-0.0076735648,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0035529050000000003,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,0.0035413127000000003,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,-0.0123107488,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0052227595,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-3.69167e-05,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.0047000544000000005,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0043377136,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0051336925,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0079801597,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.0021339876,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.0100726366,Function unknown,#0000ff,
Rv0013,trpG,14914,0.015055021600000001,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.0081992878,Transcription,#000000,
Rv0015c,pknA,17467,-0.0066988855000000005,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0125638212,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.014268161900000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.0052283428,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.00043192640000000004,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0034123981,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0055393069,Function unknown,#0000ff,
Rv0022c,whiB5,27023,0.0023837666,Transcription,#000000,
Rv0023,Rv0023,27595,-0.0055978631,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0021507368,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0059048069,Function unknown,#0000ff,
Rv0026,Rv0026,29722,0.0049571306,Function unknown,#0000ff,
Rv0027,Rv0027,31189,0.015125405100000001,Function unknown,#0000ff,
Rv0028,Rv0028,31514,0.0040027926,Function unknown,#0000ff,
Rv0029,Rv0029,32057,0.0015403563,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,0.0046605896,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.0097698141,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,-0.013663794000000002,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0108821421,Function unknown,#0000ff,
