,name,x,y,cog,color,link
meta,start,0.045227287871531,,,,
Rv0001,dnaA,1,-0.0056282005000000005,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0048105749000000005,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0100234969,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,-0.0056747102,Function unknown,#0000ff,
Rv0005,gyrB,5240,-0.0010298434,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-0.0035973812000000003,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.0069778139,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0048002461,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0057599666,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,0.0021632771,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,0.0002527909,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.001083814,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.001118875,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.0011484871,Transcription,#000000,
Rv0015c,pknA,17467,-0.0024692609,Transcription,#000000,
Rv0016c,pbpA,18759,0.0022164266000000003,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.0026491084,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.000605326,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0015191661,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0049200327,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0014772649000000001,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0129670067,Transcription,#000000,
Rv0023,Rv0023,27595,0.00621427,Transcription,#000000,
Rv0024,Rv0024,28362,0.0070353582,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0064346023,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.0037553942,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.0014707754,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.009678206600000001,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0018244045000000001,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.0082263428,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.0063888905,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,6.17965e-05,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0026787007000000002,Function unknown,#0000ff,
Rv0035,fadD34,37259,-0.0043325459,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,-0.0057161168000000005,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,-0.0077914441,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,6.63527e-05,Transcription,#000000,
Rv0039c,Rv0039c,42004,-0.0075971234,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,-0.0022681449,Function unknown,#0000ff,
