k,Name,in_iM,gene_weight,Regulator,Function,Category
78,Positive Regulation of Growth,False,0.0500507542,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
35,Unc_4,False,0.0457676931,,Uncharacterized iModulon 4,Uncharacterized
53,Rv1776c+WhiB4,False,0.029098166800000002,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
69,Rv0135+Rv1019,False,0.0258773612,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
72,Unc_8,False,-0.0248357437,,Uncharacterized iModulon 8,Uncharacterized
54,Unc_7,False,-0.023648958,,Uncharacterized iModulon 7,Uncharacterized
38,SG_5,False,0.0224194677,,Single Gene iModulon 5,Single Gene
9,SigK,False,-0.0185681011,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function
70,Lsr2,False,-0.018436387800000002,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
46,Rv2621c,False,-0.0183895834,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
0,SigH,False,-0.016879454800000002,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
21,MprA,False,0.016596207300000002,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
30,HPT-2b Induced,False,0.0161862678,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
28,WhiB1,False,-0.0146021824,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
47,SG_7,False,-0.0142487597,,Single Gene iModulon 7,Single Gene
57,SG_8,False,-0.013396915700000001,,Single Gene iModulon 8,Single Gene
13,SG_1,False,0.013020202000000002,,Single Gene iModulon 1,Single Gene
25,Rv0078+Rv2034,False,0.01278886,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
7,GroEL-GroES Complex,False,-0.012387147000000001,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
51,PhoP,False,-0.0120025027,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
59,Rv0576,False,-0.011523788,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
45,SigD,False,0.0113305113,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
74,SG_12,False,0.0109238406,,Single Gene iModulon 12,Single Gene
36,Fumarate Reductase,False,0.0103168492,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
31,ArgR,False,0.0100784545,argR,Transcription factor that regulates the L-arginine biosynthesis pathways,Amino Acids
16,Mce3R,False,-0.009796401000000001,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
48,Leucine Related,False,-0.0090225147,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
