k,Name,in_iM,gene_weight,Regulator,Function,Category
73,SG_11,False,0.0548534891,,Single Gene iModulon 11,Single Gene
70,Lsr2,False,0.047367431,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
77,Central Carbon Metabolism,False,-0.0436399468,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
49,Rv1828/SigH,False,0.0392653014,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
27,Unc_2,False,0.031332595500000004,,Uncharacterized iModulon 2,Uncharacterized
38,SG_5,False,0.0276884113,,Single Gene iModulon 5,Single Gene
65,SG_10,False,0.027078964400000002,,Single Gene iModulon 10,Single Gene
39,SigC,False,-0.0247617155,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
79,WhiB4/IdeR,False,0.0236728517,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
62,Rv2488c,False,0.022718330800000002,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
17,VirS,False,-0.0214282111,virS,Transcription factor that is activated and responds to acidic environments,Redox
6,MarR,False,0.0209273819,marR,Transcription factor that regulates the response to acid stress,Acid Stress
30,HPT-2b Induced,False,-0.02052043,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
57,SG_8,False,-0.0189946,,Single Gene iModulon 8,Single Gene
35,Unc_4,False,0.018488996,,Uncharacterized iModulon 4,Uncharacterized
43,LysG,False,-0.0180662437,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
24,Salicylate Induced,False,-0.017575034,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
21,MprA,False,-0.016979353500000002,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
56,Fatty Acid Biosynthesis,False,-0.0168944176,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
26,EspL KO,False,0.0166242676,,Single Gene iModulon that captures EspL knockout,KO
16,Mce3R,False,-0.0165744535,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
47,SG_7,False,-0.0165043989,,Single Gene iModulon 7,Single Gene
58,Zur,False,0.016178106600000002,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
72,Unc_8,False,0.0158776351,,Uncharacterized iModulon 8,Uncharacterized
63,SG_9,False,-0.0158135746,,Single Gene iModulon 9,Single Gene
44,SG_6,False,0.015516049,,Single Genes iModulon 6,Single Gene
11,EccE1 KO,False,-0.015115819400000001,,Single Gene iModulon that captures EccE1 knockout,KO
75,Unc_9,False,-0.0144647883,,Uncharacterized iModulon 9,Uncharacterized
69,Rv0135+Rv1019,False,0.0143964496,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
2,IniR,False,-0.0138008726,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
22,SG_3,False,0.0123424729,,Single Gene iModulon 3,Single Gene
46,Rv2621c,False,-0.0122968947,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
28,WhiB1,False,-0.011392146700000001,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
0,SigH,False,-0.0112977284,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
37,Rv3095,False,-0.0112754233,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
20,FasR,False,-0.0111778523,fasR,Transcription factor that controls the expression of fatty acid metabolism genes,Fatty Acid/Cholestrol
7,GroEL-GroES Complex,False,0.010008378600000001,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
64,Mce1R,False,0.0097822658,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
14,SG_2,False,-0.009766498200000001,,Single Gene iModulon 2,Single Gene
53,Rv1776c+WhiB4,False,-0.0091095775,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
25,Rv0078+Rv2034,False,0.0086114404,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
60,Rv0681,False,-0.0084577025,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
52,DevR-2,False,-0.00726628,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
36,Fumarate Reductase,False,0.0071264824,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
13,SG_1,False,0.0071256073000000005,,Single Gene iModulon 1,Single Gene
54,Unc_7,False,0.0069861818000000004,,Uncharacterized iModulon 7,Uncharacterized
3,PyrR,False,0.0066965956,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
68,Sulfur Metabolism,False,0.0065175293,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
5,DevR-1,False,0.0051227147,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
51,PhoP,False,-0.005081169500000001,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
32,Unc_3,False,-0.0049188991000000005,,Uncharacterized iModulon 3,Uncharacterized
