,name,x,y,cog,color,link
meta,start,0.109369234358856,,,,
Rv0001,dnaA,1,-0.0034729494,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0074916445,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,0.0050782467000000005,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,-0.0058412869,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0011520423000000001,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.009069471400000001,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.0028879101,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,0.0024550619,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0012318379,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0165169422,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.0037929246000000002,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-0.0074876454,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.0141463439,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.00157107,Transcription,#000000,
Rv0015c,pknA,17467,0.0092181332,Transcription,#000000,
Rv0016c,pbpA,18759,5.45103e-05,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,0.005975013,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,0.0006158675,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0102498299,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,0.0014549934,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0082938892,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0286817069,Transcription,#000000,
Rv0023,Rv0023,27595,-0.0081377434,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0075700548,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,0.0109311206,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.01023376,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.011555905200000001,Function unknown,#0000ff,
Rv0028,Rv0028,31514,0.0006438920000000001,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0032702760000000003,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,0.0046295663,Function unknown,#0000ff,
Rv0032,bioF2,34295,0.0027359161,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,-0.0046989630000000004,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0068781846,Function unknown,#0000ff,
Rv0035,fadD34,37259,0.0197499329,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,-0.0074759743,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,0.0037875534,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,0.0092480966,Transcription,#000000,
Rv0039c,Rv0039c,42004,-0.0298425503,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,0.0031979022,Function unknown,#0000ff,
Rv0041,leuS,43562,0.0022371379,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,-0.0095817478,Transcription,#000000,
Rv0043c,Rv0043c,47366,0.0099071439,Transcription,#000000,
Rv0044c,Rv0044c,48233,0.0041590804,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,-0.021915637,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,0.0008310617,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.0156125438,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.009090528300000001,Function unknown,#0000ff,
Rv0049,Rv0049,52831,-0.0065663224000000004,Function unknown,#0000ff,
Rv0050,ponA1,53663,-0.0038865934,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,-0.0058201983,Function unknown,#0000ff,
Rv0052,Rv0052,57410,-0.0047906449,Function unknown,#0000ff,
Rv0053,rpsF,58192,-0.0090581685,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0054,ssb,58586,-0.0065777527,"Replication, recombination and repair",#1e90ff,
Rv0055,rpsR1,59122,0.0063196679,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0056,rplI,59409,0.0054263244,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0057,Rv0057,59896,-0.0012255013,No COG annotation,#00bfbf,
Rv0058,dnaB,60396,-0.0005603744,"Replication, recombination and repair",#1e90ff,
Rv0059,Rv0059,63200,0.0004721233,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0060,Rv0060,63909,0.0040499832,Function unknown,#0000ff,
Rv0061c,Rv0061c,65012,0.0070102283,No COG annotation,#00bfbf,
Rv0062,celA1,65552,-0.0048129576,Carbohydrate transport and metabolism,#ffc0cb,
Rv0063,Rv0063,66923,0.010528916000000001,Energy production and conversion,#708090,
Rv0063a,Rv0063a,68418,0.0233981856,No COG annotation,#00bfbf,
Rv0064,Rv0064,68620,0.0001090234,Function unknown,#0000ff,
Rv0064A,vapB1,71589,0.0213776021,No COG annotation,#00bfbf,
Rv0065,vapC1,71821,-0.0002985229,Nucleotide transport and metabolism,#87ceeb,
Rv0066c,icd2,72274,-0.0004641561,Energy production and conversion,#708090,
Rv0067c,Rv0067c,74629,0.001153446,Transcription,#000000,
Rv0068,Rv0068,75301,-0.0037368609,Lipid transport and metabolism,#87cefa,
Rv0069c,sdaA,76237,0.014566692400000001,Amino acid transport and metabolism,#ff0000,
Rv0070c,glyA2,77619,0.0091911484,Amino acid transport and metabolism,#ff0000,
Rv0071,Rv0071,79486,0.0046563594,"Replication, recombination and repair",#1e90ff,
Rv0072,Rv0072,80624,0.0024388498,Defense mechanisms,#90ee90,
Rv0073,Rv0073,81676,0.0057586292,Defense mechanisms,#90ee90,
Rv0074,Rv0074,82748,0.0030305558,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0075,Rv0075,83996,0.004424761,Amino acid transport and metabolism,#ff0000,
Rv0076c,Rv0076c,85183,-0.0378945508,No COG annotation,#00bfbf,
Rv0077c,Rv0077c,85636,0.0080239876,Lipid transport and metabolism,#87cefa,
Rv0078,Rv0078,86528,-0.0080740432,Transcription,#000000,
Rv0078A,Rv0078A,87208,0.0007548297000000001,Function unknown,#0000ff,
Rv0078B,Rv0078B,87798,0.0224194677,No COG annotation,#00bfbf,
Rv0079,Rv0079,88204,-0.0044115277,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0080,Rv0080,89022,0.016098225,Transcription,#000000,
Rv0081,Rv0081,89575,0.0144441525,Transcription,#000000,
Rv0082,Rv0082,89924,-0.001026484,Energy production and conversion,#708090,
Rv0083,Rv0083,90400,0.0060763358,Energy production and conversion,#708090,
Rv0084,hycD,92328,0.0009151081,Energy production and conversion,#708090,
Rv0085,hycP,93289,-0.0194726118,Energy production and conversion,#708090,
Rv0086,hycQ,93951,-0.007868317500000001,Energy production and conversion,#708090,
Rv0087,hycE,95414,0.0032768712000000003,Energy production and conversion,#708090,
Rv0088,Rv0088,96927,-0.0001078302,Function unknown,#0000ff,
Rv0089,Rv0089,97758,-0.0010138662,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0090,Rv0090,98480,-0.035085234300000004,Function unknown,#0000ff,
Rv0091,mtn,99684,-0.015492677500000001,Amino acid transport and metabolism,#ff0000,
Rv0092,ctpA,100583,-0.0031440936,Inorganic ion transport and metabolism,#8b4513,
Rv0093c,Rv0093c,102815,-0.0108359743,Function unknown,#0000ff,
Rv0094c,Rv0094c,103710,0.0108514881,Defense mechanisms,#90ee90,
Rv0095c,Rv0095c,104805,-0.0007651299,Defense mechanisms,#90ee90,
Rv0096,PPE1,105324,0.041674727200000004,Cell motility,#da70d6,
Rv0097,Rv0097,106734,0.0173857546,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0098,fcoT,107600,0.018746685500000002,Function unknown,#0000ff,
Rv0099,fadD10,108156,0.0167926238,Lipid transport and metabolism,#87cefa,
Rv0100,Rv0100,109783,-0.0200930231,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0101,nrp,110001,0.0061434788,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0102,Rv0102,117714,-0.0030302442,Inorganic ion transport and metabolism,#8b4513,
Rv0103c,ctpB,119915,0.001808913,Inorganic ion transport and metabolism,#8b4513,
Rv0104,Rv0104,122317,-0.0069007884,Coenzyme transport and metabolism,#d3d3d3,
Rv0105c,rpmB1,123980,0.0160776704,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0106,Rv0106,124374,-0.035660121,Function unknown,#0000ff,
Rv0107c,ctpI,125643,-0.003747255,Inorganic ion transport and metabolism,#8b4513,
Rv0108c,Rv0108c,130895,-0.0110886101,No COG annotation,#00bfbf,
Rv0109,PE_PGRS1,131382,-0.0073703464,Lipid transport and metabolism,#87cefa,
Rv0110,Rv0110,133020,-0.013561408300000001,Cell motility,#da70d6,
Rv0111,Rv0111,133950,-0.0038156198,Amino acid transport and metabolism,#ff0000,
Rv0112,gca,136289,0.007366099,Carbohydrate transport and metabolism,#ffc0cb,
Rv0113,gmhA,137319,-0.0078798169,Carbohydrate transport and metabolism,#ffc0cb,
Rv0114,gmhB,137941,-0.0211001889,Amino acid transport and metabolism,#ff0000,
Rv0115,hddA,138513,-0.0105748018,Function unknown,#0000ff,
Rv0115a,Rv0115a,139956,0.0151399138,No COG annotation,#00bfbf,
Rv0116c,ldtA,140267,-0.0053073343,Function unknown,#0000ff,
Rv0117,oxyS,141200,0.0160176364,Transcription,#000000,
Rv0118c,oxcA,142128,0.0112346032,Amino acid transport and metabolism,#ff0000,
Rv0119,fadD7,144049,-0.0011121195000000001,Lipid transport and metabolism,#87cefa,
Rv0120c,fusA2,145627,-0.0084497344,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0121c,Rv0121c,147908,0.0054860407,Function unknown,#0000ff,
Rv0122,Rv0122,148491,-0.027273633800000002,No COG annotation,#00bfbf,
Rv0123,Rv0123,148856,-0.0110993609,No COG annotation,#00bfbf,
Rv0124,PE_PGRS2,149533,-0.0074082855,Lipid transport and metabolism,#87cefa,
Rv0125,pepA,151148,-0.0016868714,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0126,treS,152324,-0.0030125171,Carbohydrate transport and metabolism,#ffc0cb,
Rv0127,mak,154232,-0.0041867810000000005,Carbohydrate transport and metabolism,#ffc0cb,
Rv0128,Rv0128,155667,0.005939314,Function unknown,#0000ff,
Rv0129c,fbpC,156578,-0.005152898600000001,Function unknown,#0000ff,
Rv0130,htdZ,157847,-0.012092393100000001,Lipid transport and metabolism,#87cefa,
Rv0131c,fadE1,158315,0.0024040642,Lipid transport and metabolism,#87cefa,
Rv0132c,fgd2,159700,-0.004155923000000001,Energy production and conversion,#708090,
Rv0133,Rv0133,160869,-0.0056080597,Transcription,#000000,
Rv0134,ephF,161771,-0.0025896364,Lipid transport and metabolism,#87cefa,
Rv0135c,Rv0135c,162644,-0.0005462273,Transcription,#000000,
Rv0136,cyp138,163366,0.0060880389,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0137c,msrA,164712,0.0089376342,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0138,Rv0138,165323,-0.022942356400000002,Function unknown,#0000ff,
Rv0139,Rv0139,165827,-0.0019705314,Carbohydrate transport and metabolism,#ffc0cb,
Rv0140,Rv0140,166910,-0.0104542394,Function unknown,#0000ff,
Rv0141c,Rv0141c,167271,-0.0023086305,Function unknown,#0000ff,
Rv0142,Rv0142,167711,0.0047694261,"Replication, recombination and repair",#1e90ff,
Rv0143c,Rv0143c,168704,6.01819e-05,Inorganic ion transport and metabolism,#8b4513,
Rv0144,Rv0144,170284,-0.0018359694000000001,Transcription,#000000,
Rv0145,Rv0145,171215,0.0032366963,Coenzyme transport and metabolism,#d3d3d3,
Rv0146,Rv0146,172211,-0.0057404919,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0147,Rv0147,173238,-0.0023879016,Energy production and conversion,#708090,
Rv0148,Rv0148,174833,-0.0022237454,Lipid transport and metabolism,#87cefa,
Rv0149,Rv0149,175700,-0.0022324474,Energy production and conversion,#708090,
Rv0150c,Rv0150c,176665,-0.0319767991,No COG annotation,#00bfbf,
Rv0151c,PE1,177543,0.0158032018,Cell motility,#da70d6,
Rv0152c,PE2,179319,0.0028353345000000003,Cell motility,#da70d6,
Rv0153c,ptbB,181155,0.0015576916000000001,Signal transduction mechanisms,#f4a460,
Rv0154c,fadE2,181987,0.0049962757,Lipid transport and metabolism,#87cefa,
Rv0155,pntAa,183622,0.0017281254,Energy production and conversion,#708090,
Rv0156,pntAb,184723,0.015426187800000001,Energy production and conversion,#708090,
Rv0157,pntB,185052,0.0114187513,Energy production and conversion,#708090,
Rv0157A,Rv0157A,186495,-0.0208996909,Function unknown,#0000ff,
Rv0158,Rv0158,186785,0.0040749431,Transcription,#000000,
Rv0159c,PE3,187433,-0.0215833185,Cell motility,#da70d6,
Rv0160c,PE4,188931,-0.0104848799,Cell motility,#da70d6,
Rv0161,Rv0161,190607,0.0033896656000000002,Energy production and conversion,#708090,
Rv0162c,adhE1,191984,-0.0126386667,Energy production and conversion,#708090,
Rv0163,Rv0163,193117,-0.019580339500000002,Function unknown,#0000ff,
