k,Name,in_iM,gene_weight,Regulator,Function,Category
78,Positive Regulation of Growth,False,0.0476678324,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
15,BkaR,False,-0.0359272894,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
42,Nicotinate Metabolism,False,0.0283772932,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
75,Unc_9,False,-0.027201518900000003,,Uncharacterized iModulon 9,Uncharacterized
76,SG_13,False,0.0259539796,,Single Gene iModulon 13,Single Gene
60,Rv0681,False,0.0257069285,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
39,SigC,False,0.0250064123,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
54,Unc_7,False,-0.0228731785,,Uncharacterized iModulon 7,Uncharacterized
69,Rv0135+Rv1019,False,0.0188978105,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
6,MarR,False,-0.017390344000000002,marR,Transcription factor that regulates the response to acid stress,Acid Stress
55,WhiB7,False,-0.0166650224,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
47,SG_7,False,0.016223492500000002,,Single Gene iModulon 7,Single Gene
51,PhoP,False,-0.0151199851,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
26,EspL KO,False,-0.0145736903,,Single Gene iModulon that captures EspL knockout,KO
24,Salicylate Induced,False,0.0137921258,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
73,SG_11,False,-0.0122394378,,Single Gene iModulon 11,Single Gene
17,VirS,False,0.0122153489,virS,Transcription factor that is activated and responds to acidic environments,Redox
57,SG_8,False,-0.0121829026,,Single Gene iModulon 8,Single Gene
34,MbcA+Rv3249c+Rv3066,False,-0.0121077866,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
45,SigD,False,-0.011756804400000001,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
53,Rv1776c+WhiB4,False,0.011586515300000001,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
36,Fumarate Reductase,False,0.0110160316,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
79,WhiB4/IdeR,False,-0.010999157300000001,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
77,Central Carbon Metabolism,False,-0.0109204447,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
25,Rv0078+Rv2034,False,-0.0109169487,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
64,Mce1R,False,0.0107957751,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
70,Lsr2,False,-0.0101109893,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
27,Unc_2,False,0.0098513077,,Uncharacterized iModulon 2,Uncharacterized
21,MprA,False,0.0095155528,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
33,SG_4,False,-0.0094992103,,Single Gene iModulon 4,Single Gene
58,Zur,False,-0.0090456927,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
35,Unc_4,False,-0.008749004000000001,,Uncharacterized iModulon 4,Uncharacterized
72,Unc_8,False,-0.008512783900000001,,Uncharacterized iModulon 8,Uncharacterized
68,Sulfur Metabolism,False,-0.0084667182,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
22,SG_3,False,-0.0083463504,,Single Gene iModulon 3,Single Gene
52,DevR-2,False,-0.0082786196,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
16,Mce3R,False,0.0081419027,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
0,SigH,False,0.0077384496,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
65,SG_10,False,-0.007705272500000001,,Single Gene iModulon 10,Single Gene
63,SG_9,False,-0.00769921,,Single Gene iModulon 9,Single Gene
66,M-box,False,-0.0075554467,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
18,Unc_1,False,0.0070771256,,Uncharacterized iModulon 1,Uncharacterized
23,PrpR,False,-0.0065143722,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
48,Leucine Related,False,0.0064811153000000005,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
49,Rv1828/SigH,False,0.0064719719,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
10,RicR,False,0.0061035497000000005,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
2,IniR,False,0.0060243702,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
5,DevR-1,False,0.0055207338,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
