,name,x,y,cog,color,link
meta,start,0.054074352938628,,,,
Rv0001,dnaA,1,0.0027079857000000002,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0075947016,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0077687739,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,-0.0091237548,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0024567992,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.0018740695,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0016549667000000001,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,0.0226031988,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0012179982000000002,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.009013956600000001,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,0.0007763927,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.007518188800000001,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.0094444286,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.0054600466,Transcription,#000000,
Rv0015c,pknA,17467,0.0038145715000000003,Transcription,#000000,
Rv0016c,pbpA,18759,0.0051269473,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.0021011731,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,0.00090462,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0065490083,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0011168475,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0011089741,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0098793414,Transcription,#000000,
Rv0023,Rv0023,27595,-0.0087831796,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0044577523,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,0.0109359014,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.0022681983,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.014034993,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.0056867236000000005,Function unknown,#0000ff,
Rv0029,Rv0029,32057,0.0069027322,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.0088201352,Function unknown,#0000ff,
Rv0032,bioF2,34295,0.0102562816,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,0.0019063512,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,0.0126859853,Function unknown,#0000ff,
Rv0035,fadD34,37259,0.0064315232,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,0.0023113149,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,-0.0066344295000000005,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,0.0062414851,Transcription,#000000,
Rv0039c,Rv0039c,42004,-0.008530795800000001,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,-0.0029446636,Function unknown,#0000ff,
Rv0041,leuS,43562,-0.0028821845,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,-0.0001598593,Transcription,#000000,
Rv0043c,Rv0043c,47366,-0.008791504,Transcription,#000000,
Rv0044c,Rv0044c,48233,-0.010933439100000001,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,-0.0302182388,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,-0.0197866186,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.0039848671,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.002191431,Function unknown,#0000ff,
Rv0049,Rv0049,52831,0.0023972726,Function unknown,#0000ff,
Rv0050,ponA1,53663,0.002024173,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,0.0028739238000000003,Function unknown,#0000ff,
Rv0052,Rv0052,57410,0.0154764354,Function unknown,#0000ff,
Rv0053,rpsF,58192,-0.005596439700000001,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0054,ssb,58586,-0.0148257508,"Replication, recombination and repair",#1e90ff,
Rv0055,rpsR1,59122,-0.020711455900000002,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0056,rplI,59409,-0.0195865373,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0057,Rv0057,59896,-0.0005390439,No COG annotation,#00bfbf,
Rv0058,dnaB,60396,-0.0049977719000000006,"Replication, recombination and repair",#1e90ff,
Rv0059,Rv0059,63200,-0.0071174898000000006,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0060,Rv0060,63909,0.005732746,Function unknown,#0000ff,
Rv0061c,Rv0061c,65012,0.0018183658,No COG annotation,#00bfbf,
Rv0062,celA1,65552,-0.0014819435,Carbohydrate transport and metabolism,#ffc0cb,
Rv0063,Rv0063,66923,0.0338234197,Energy production and conversion,#708090,
Rv0063a,Rv0063a,68418,-0.0047399492,No COG annotation,#00bfbf,
Rv0064,Rv0064,68620,0.013636953,Function unknown,#0000ff,
Rv0064A,vapB1,71589,-0.0032404004,No COG annotation,#00bfbf,
Rv0065,vapC1,71821,0.0073524611,Nucleotide transport and metabolism,#87ceeb,
Rv0066c,icd2,72274,0.0055820037,Energy production and conversion,#708090,
Rv0067c,Rv0067c,74629,0.0104919955,Transcription,#000000,
Rv0068,Rv0068,75301,-0.0140988546,Lipid transport and metabolism,#87cefa,
Rv0069c,sdaA,76237,-0.0030307345,Amino acid transport and metabolism,#ff0000,
Rv0070c,glyA2,77619,0.0036963371,Amino acid transport and metabolism,#ff0000,
Rv0071,Rv0071,79486,0.0060253988,"Replication, recombination and repair",#1e90ff,
Rv0072,Rv0072,80624,0.015120536700000001,Defense mechanisms,#90ee90,
Rv0073,Rv0073,81676,0.009897234500000001,Defense mechanisms,#90ee90,
Rv0074,Rv0074,82748,0.0077295231,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0075,Rv0075,83996,0.0001586902,Amino acid transport and metabolism,#ff0000,
Rv0076c,Rv0076c,85183,-0.0232242153,No COG annotation,#00bfbf,
Rv0077c,Rv0077c,85636,-0.0007684948,Lipid transport and metabolism,#87cefa,
Rv0078,Rv0078,86528,0.0351122414,Transcription,#000000,
Rv0078A,Rv0078A,87208,0.0107432624,Function unknown,#0000ff,
Rv0078B,Rv0078B,87798,0.0084955801,No COG annotation,#00bfbf,
Rv0079,Rv0079,88204,-0.0202570255,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0080,Rv0080,89022,-0.023239041300000002,Transcription,#000000,
Rv0081,Rv0081,89575,-0.018929460800000002,Transcription,#000000,
