,name,x,y,cog,color,link
meta,start,0.14267388607493,,,,
Rv0001,dnaA,1,-0.0142480481,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,0.0063835310000000004,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,0.013619802700000001,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0043183823000000005,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0027005806,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.0059092041,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.0020252852,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,0.0315531634,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0042757914,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,0.0257176132,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,0.0097773235,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-0.0133163655,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.013301762100000001,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,0.0003561536,Transcription,#000000,
Rv0015c,pknA,17467,-0.0009864249,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0183854305,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.0159659657,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.0115589444,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0074683821000000004,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,0.0028206703,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,0.0026400184,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0486619064,Transcription,#000000,
Rv0023,Rv0023,27595,0.0205493856,Transcription,#000000,
Rv0024,Rv0024,28362,0.008276160500000001,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.007276484200000001,Function unknown,#0000ff,
Rv0026,Rv0026,29722,0.0075958137000000005,Function unknown,#0000ff,
Rv0027,Rv0027,31189,0.0235593901,Function unknown,#0000ff,
Rv0028,Rv0028,31514,0.022532662000000002,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0126990303,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.0002339997,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.030736563,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,-0.0012258392000000001,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0235690134,Function unknown,#0000ff,
Rv0035,fadD34,37259,-0.0051556986,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,0.006844673000000001,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,0.009596372,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,-0.0028533589,Transcription,#000000,
Rv0039c,Rv0039c,42004,-0.0083866313,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,-0.0124517579,Function unknown,#0000ff,
Rv0041,leuS,43562,0.004880029,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,0.0001861748,Transcription,#000000,
Rv0043c,Rv0043c,47366,0.0038484107000000003,Transcription,#000000,
Rv0044c,Rv0044c,48233,0.0125841964,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,-0.0027149731,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,0.0273081963,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.0057295722000000006,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.002277173,Function unknown,#0000ff,
Rv0049,Rv0049,52831,0.0040922876,Function unknown,#0000ff,
Rv0050,ponA1,53663,0.0052849795,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,-0.006547783200000001,Function unknown,#0000ff,
Rv0052,Rv0052,57410,-0.012633455600000001,Function unknown,#0000ff,
Rv0053,rpsF,58192,-0.0138649836,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0054,ssb,58586,-0.0061423629,"Replication, recombination and repair",#1e90ff,
Rv0055,rpsR1,59122,-0.023245868700000002,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0056,rplI,59409,0.0013135702,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0057,Rv0057,59896,0.0032103540000000003,No COG annotation,#00bfbf,
Rv0058,dnaB,60396,-0.010277295,"Replication, recombination and repair",#1e90ff,
Rv0059,Rv0059,63200,0.0040960721000000005,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0060,Rv0060,63909,-0.0032880069000000003,Function unknown,#0000ff,
Rv0061c,Rv0061c,65012,0.0035579444,No COG annotation,#00bfbf,
Rv0062,celA1,65552,-0.007090951900000001,Carbohydrate transport and metabolism,#ffc0cb,
Rv0063,Rv0063,66923,-0.0116349841,Energy production and conversion,#708090,
Rv0063a,Rv0063a,68418,-0.0006426590000000001,No COG annotation,#00bfbf,
Rv0064,Rv0064,68620,0.0001261981,Function unknown,#0000ff,
Rv0064A,vapB1,71589,-0.025708944,No COG annotation,#00bfbf,
Rv0065,vapC1,71821,-0.0072292516,Nucleotide transport and metabolism,#87ceeb,
Rv0066c,icd2,72274,0.0033567305,Energy production and conversion,#708090,
Rv0067c,Rv0067c,74629,0.0018114003,Transcription,#000000,
Rv0068,Rv0068,75301,0.0062344827,Lipid transport and metabolism,#87cefa,
Rv0069c,sdaA,76237,-0.005033871200000001,Amino acid transport and metabolism,#ff0000,
Rv0070c,glyA2,77619,0.0052115774,Amino acid transport and metabolism,#ff0000,
Rv0071,Rv0071,79486,0.0175861316,"Replication, recombination and repair",#1e90ff,
Rv0072,Rv0072,80624,-0.0041363932,Defense mechanisms,#90ee90,
Rv0073,Rv0073,81676,0.0020033479000000002,Defense mechanisms,#90ee90,
Rv0074,Rv0074,82748,-0.012881618400000001,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0075,Rv0075,83996,-0.0059988229,Amino acid transport and metabolism,#ff0000,
Rv0076c,Rv0076c,85183,0.0009998199,No COG annotation,#00bfbf,
Rv0077c,Rv0077c,85636,0.0051198154,Lipid transport and metabolism,#87cefa,
Rv0078,Rv0078,86528,-0.0049240724,Transcription,#000000,
Rv0078A,Rv0078A,87208,-0.003129803,Function unknown,#0000ff,
Rv0078B,Rv0078B,87798,0.0074494615,No COG annotation,#00bfbf,
Rv0079,Rv0079,88204,-0.0041832783,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0080,Rv0080,89022,-0.0055678123,Transcription,#000000,
Rv0081,Rv0081,89575,-0.0238865833,Transcription,#000000,
Rv0082,Rv0082,89924,-0.0239172633,Energy production and conversion,#708090,
Rv0083,Rv0083,90400,-0.003207128,Energy production and conversion,#708090,
Rv0084,hycD,92328,0.0045763629,Energy production and conversion,#708090,
Rv0085,hycP,93289,-0.0162886293,Energy production and conversion,#708090,
