k,Name,in_iM,gene_weight,Regulator,Function,Category
36,Fumarate Reductase,False,-0.0347128234,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
12,Mycofactocin Synthesis Pathway,False,-0.0336278782,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
53,Rv1776c+WhiB4,False,0.0322149298,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
24,Salicylate Induced,False,-0.0308610071,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
46,Rv2621c,False,0.029470331800000003,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
34,MbcA+Rv3249c+Rv3066,False,0.024256036,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
73,SG_11,False,-0.0242497154,,Single Gene iModulon 11,Single Gene
50,Unc_6,False,-0.0216671324,,Uncharacterized iModulon 6,Uncharacterized
64,Mce1R,False,-0.0208037898,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
59,Rv0576,False,0.0197908197,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
40,KstR2,False,-0.0197270865,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
35,Unc_4,False,-0.017286823,,Uncharacterized iModulon 4,Uncharacterized
13,SG_1,False,-0.0172635439,,Single Gene iModulon 1,Single Gene
15,BkaR,False,0.0169052643,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
63,SG_9,False,-0.016644069100000002,,Single Gene iModulon 9,Single Gene
16,Mce3R,False,-0.016542872400000002,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
70,Lsr2,False,0.0158968152,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
43,LysG,False,-0.0158781001,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
55,WhiB7,False,-0.014384048200000001,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
66,M-box,False,0.014297693200000001,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
7,GroEL-GroES Complex,False,-0.0141134775,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
78,Positive Regulation of Growth,False,0.0137600489,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
25,Rv0078+Rv2034,False,0.013558511700000001,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
17,VirS,False,-0.011269501500000001,virS,Transcription factor that is activated and responds to acidic environments,Redox
45,SigD,False,0.0111090899,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
33,SG_4,False,-0.0110199506,,Single Gene iModulon 4,Single Gene
57,SG_8,False,-0.0109529654,,Single Gene iModulon 8,Single Gene
41,Unc_5,False,-0.0106318661,,Uncharacterized iModulon 5,Uncharacterized
69,Rv0135+Rv1019,False,-0.0105702851,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
27,Unc_2,False,0.0103451214,,Uncharacterized iModulon 2,Uncharacterized
2,IniR,False,-0.0101056793,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
14,SG_2,False,-0.009229211900000001,,Single Gene iModulon 2,Single Gene
21,MprA,False,-0.0090607373,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
6,MarR,False,0.0087523159,marR,Transcription factor that regulates the response to acid stress,Acid Stress
54,Unc_7,False,0.0077179131,,Uncharacterized iModulon 7,Uncharacterized
23,PrpR,False,0.0074332373,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
