,name,x,y,cog,color,link
meta,start,0.09881540481644,,,,
Rv0001,dnaA,1,0.00019565600000000003,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,0.0134993998,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0001802584,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.008950947400000001,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.0077859217,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-0.0011437873,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0011383455,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0022943588,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.009336436600000001,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,0.0091683433,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,0.0153837333,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-1.1861300000000001e-05,Function unknown,#0000ff,
Rv0013,trpG,14914,0.0013890934,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-4.4162800000000003e-05,Transcription,#000000,
Rv0015c,pknA,17467,0.00031158680000000004,Transcription,#000000,
Rv0016c,pbpA,18759,-0.009963506,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,0.0030049139,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.0070852758000000005,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,0.0001187653,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,0.0051168853,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,0.005295076100000001,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0236644911,Transcription,#000000,
Rv0023,Rv0023,27595,0.0008747157,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0047550009,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,0.0177469068,Function unknown,#0000ff,
Rv0026,Rv0026,29722,0.011068509300000001,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.008648755400000001,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.013721732200000001,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0003047688,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.009295641,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.0055656213,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,-0.0257406737,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,-0.0154743177,Function unknown,#0000ff,
Rv0035,fadD34,37259,-0.0004533609,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,0.0023282001,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,-0.0060783877,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,-0.0096248828,Transcription,#000000,
Rv0039c,Rv0039c,42004,-0.0085284725,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,0.0068230832,Function unknown,#0000ff,
Rv0041,leuS,43562,0.0006963459,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,0.0054136728,Transcription,#000000,
Rv0043c,Rv0043c,47366,-0.0069894921,Transcription,#000000,
Rv0044c,Rv0044c,48233,-0.0047693993,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,-0.0286638286,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,-0.0332230486,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.008440443800000001,Transcription,#000000,
Rv0048c,Rv0048c,51828,0.0185684115,Function unknown,#0000ff,
Rv0049,Rv0049,52831,-0.0129103515,Function unknown,#0000ff,
Rv0050,ponA1,53663,0.0009325066,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,-0.0006570479,Function unknown,#0000ff,
Rv0052,Rv0052,57410,0.0052379755,Function unknown,#0000ff,
Rv0053,rpsF,58192,-0.0168628242,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0054,ssb,58586,-0.0160799741,"Replication, recombination and repair",#1e90ff,
Rv0055,rpsR1,59122,-0.007982787,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0056,rplI,59409,-0.0163989618,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0057,Rv0057,59896,-0.0236213223,No COG annotation,#00bfbf,
Rv0058,dnaB,60396,-0.0253703393,"Replication, recombination and repair",#1e90ff,
Rv0059,Rv0059,63200,-0.0203218153,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0060,Rv0060,63909,-0.0117438937,Function unknown,#0000ff,
Rv0061c,Rv0061c,65012,0.0015987044,No COG annotation,#00bfbf,
Rv0062,celA1,65552,0.0004467602,Carbohydrate transport and metabolism,#ffc0cb,
Rv0063,Rv0063,66923,0.0105036554,Energy production and conversion,#708090,
Rv0063a,Rv0063a,68418,0.0021695602,No COG annotation,#00bfbf,
Rv0064,Rv0064,68620,-0.0005945309,Function unknown,#0000ff,
Rv0064A,vapB1,71589,0.0093612745,No COG annotation,#00bfbf,
Rv0065,vapC1,71821,0.008827661300000001,Nucleotide transport and metabolism,#87ceeb,
Rv0066c,icd2,72274,0.0019873432,Energy production and conversion,#708090,
Rv0067c,Rv0067c,74629,0.0137237417,Transcription,#000000,
Rv0068,Rv0068,75301,0.0094418833,Lipid transport and metabolism,#87cefa,
Rv0069c,sdaA,76237,0.0076406325,Amino acid transport and metabolism,#ff0000,
Rv0070c,glyA2,77619,0.0119262753,Amino acid transport and metabolism,#ff0000,
Rv0071,Rv0071,79486,-0.0040318411,"Replication, recombination and repair",#1e90ff,
Rv0072,Rv0072,80624,-0.0181067793,Defense mechanisms,#90ee90,
Rv0073,Rv0073,81676,-0.0191339953,Defense mechanisms,#90ee90,
Rv0074,Rv0074,82748,-0.0122068256,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0075,Rv0075,83996,-0.0175582494,Amino acid transport and metabolism,#ff0000,
Rv0076c,Rv0076c,85183,0.0033077727000000003,No COG annotation,#00bfbf,
Rv0077c,Rv0077c,85636,-0.0008284729,Lipid transport and metabolism,#87cefa,
Rv0078,Rv0078,86528,0.0185377678,Transcription,#000000,
Rv0078A,Rv0078A,87208,0.0027248503,Function unknown,#0000ff,
Rv0078B,Rv0078B,87798,-0.0015222181000000001,No COG annotation,#00bfbf,
Rv0079,Rv0079,88204,-0.0035721090000000004,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0080,Rv0080,89022,0.0078447719,Transcription,#000000,
Rv0081,Rv0081,89575,0.0199180249,Transcription,#000000,
Rv0082,Rv0082,89924,-0.0012897785,Energy production and conversion,#708090,
Rv0083,Rv0083,90400,-0.0099773151,Energy production and conversion,#708090,
Rv0084,hycD,92328,-0.006269655900000001,Energy production and conversion,#708090,
