,name,x,y,cog,color,link
meta,start,0.06587855349572,,,,
Rv0001,dnaA,1,-0.013171262500000001,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,0.0146513314,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,0.0383414011,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0230101975,Function unknown,#0000ff,
Rv0005,gyrB,5240,0.000877797,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,0.005560425700000001,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,0.0126425128,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0008833203,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,-0.021331686000000002,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0036918589,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,-0.0016322058000000001,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-0.015942753900000002,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.0085167286,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.0120120473,Transcription,#000000,
Rv0015c,pknA,17467,-0.0049513592,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0114440844,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,0.0074682293,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.005291073,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0081711356,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0051947956000000005,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,0.0058178877000000006,Function unknown,#0000ff,
Rv0022c,whiB5,27023,0.0189379194,Transcription,#000000,
Rv0023,Rv0023,27595,0.016840311900000002,Transcription,#000000,
Rv0024,Rv0024,28362,-0.007224700200000001,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0027355885,Function unknown,#0000ff,
Rv0026,Rv0026,29722,0.015370283200000001,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.0010260236,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.0062641179,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0107441197,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,0.0019447446,Function unknown,#0000ff,
Rv0032,bioF2,34295,0.0020109881,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,0.0038237909,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,0.0047372948,Function unknown,#0000ff,
Rv0035,fadD34,37259,0.0055133912,Lipid transport and metabolism,#87cefa,
