,name,x,y,cog,color,link
meta,start,0.07183021321389751,,,,
Rv0001,dnaA,1,-0.008292933800000001,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.014754755900000001,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0039426495,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,0.0012324278,Function unknown,#0000ff,
Rv0005,gyrB,5240,-0.0011009155,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-0.0079624497,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.0208237761,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,-0.0050856797,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0050828010000000005,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0156444013,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,1.5844e-06,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,0.0111502975,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.00028566130000000004,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.0040243904,Transcription,#000000,
Rv0015c,pknA,17467,-0.0016616166,Transcription,#000000,
Rv0016c,pbpA,18759,0.0016802062000000001,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.0077365661,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.0027629055,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,0.0026748177,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.004853255,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0012263643,Function unknown,#0000ff,
Rv0022c,whiB5,27023,0.0115872162,Transcription,#000000,
Rv0023,Rv0023,27595,0.0023225617,Transcription,#000000,
Rv0024,Rv0024,28362,-0.0017801345,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0096861207,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.0036544078,Function unknown,#0000ff,
Rv0027,Rv0027,31189,0.0058219840000000005,Function unknown,#0000ff,
Rv0028,Rv0028,31514,-0.0047240911,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0010451517,No COG annotation,#00bfbf,
