k,Name,in_iM,gene_weight,Regulator,Function,Category
64,Mce1R,False,0.09560742700000001,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
36,Fumarate Reductase,False,-0.0519344891,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
18,Unc_1,False,-0.0312807492,,Uncharacterized iModulon 1,Uncharacterized
51,PhoP,False,-0.024245077900000002,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
42,Nicotinate Metabolism,False,0.0211712082,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
27,Unc_2,False,0.0209221419,,Uncharacterized iModulon 2,Uncharacterized
68,Sulfur Metabolism,False,0.0207423561,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
69,Rv0135+Rv1019,False,0.0185222324,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
57,SG_8,False,-0.0164061286,,Single Gene iModulon 8,Single Gene
1,Polyketide Synthase Complex,False,-0.015747420800000002,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
77,Central Carbon Metabolism,False,0.0154595905,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
25,Rv0078+Rv2034,False,-0.015216445200000001,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
12,Mycofactocin Synthesis Pathway,False,-0.0143260023,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
31,ArgR,False,-0.0142504863,argR,Transcription factor that regulates the L-arginine biosynthesis pathways,Amino Acids
78,Positive Regulation of Growth,False,-0.013360061000000001,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
30,HPT-2b Induced,False,-0.013043485700000001,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
3,PyrR,False,-0.0126156904,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
15,BkaR,False,0.0124547647,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
10,RicR,False,-0.012343904800000001,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
58,Zur,False,-0.0115110019,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
72,Unc_8,False,0.0112949735,,Uncharacterized iModulon 8,Uncharacterized
24,Salicylate Induced,False,0.0111257021,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
41,Unc_5,False,0.0110649349,,Uncharacterized iModulon 5,Uncharacterized
4,WhiB4,False,-0.0107357543,whiB4,Redox-Responsive transcription regulator that regulates protection response during infection,Redox
71,PDIM;PGL Synthesis,False,0.0105144687,,Manually annotated iModulon that captures genes associated with PDIM and PGL synthesis,Virulence/Persistence
46,Rv2621c,False,-0.010344780500000001,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
76,SG_13,False,-0.01026909,,Single Gene iModulon 13,Single Gene
79,WhiB4/IdeR,False,0.0101631529,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
48,Leucine Related,False,-0.0100792022,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
49,Rv1828/SigH,False,0.0100516388,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
13,SG_1,False,-0.009678582100000001,,Single Gene iModulon 1,Single Gene
55,WhiB7,False,-0.0094911402,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
16,Mce3R,False,0.0092554577,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
38,SG_5,False,-0.008773201100000001,,Single Gene iModulon 5,Single Gene
0,SigH,False,0.0086572012,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
43,LysG,False,-0.0082201755,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
35,Unc_4,False,0.008195826,,Uncharacterized iModulon 4,Uncharacterized
28,WhiB1,False,-0.007788775800000001,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
54,Unc_7,False,-0.006771183300000001,,Uncharacterized iModulon 7,Uncharacterized
33,SG_4,False,-0.0067660236000000006,,Single Gene iModulon 4,Single Gene
47,SG_7,False,-0.0066680764,,Single Gene iModulon 7,Single Gene
20,FasR,False,0.0064516868,fasR,Transcription factor that controls the expression of fatty acid metabolism genes,Fatty Acid/Cholestrol
7,GroEL-GroES Complex,False,-0.006387419,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
34,MbcA+Rv3249c+Rv3066,False,-0.005959528600000001,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
73,SG_11,False,-0.0058102397,,Single Gene iModulon 11,Single Gene
23,PrpR,False,0.0054831993,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
53,Rv1776c+WhiB4,False,0.0054431620000000005,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
32,Unc_3,False,-0.0045089987,,Uncharacterized iModulon 3,Uncharacterized
62,Rv2488c,False,0.0043324272,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
5,DevR-1,False,0.0039045430000000003,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
66,M-box,False,-0.0035600727000000003,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
40,KstR2,False,0.0035230775,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
6,MarR,False,0.003509883,marR,Transcription factor that regulates the response to acid stress,Acid Stress
65,SG_10,False,-0.0032829527000000002,,Single Gene iModulon 10,Single Gene
74,SG_12,False,-0.0032751658000000003,,Single Gene iModulon 12,Single Gene
26,EspL KO,False,-0.00326474,,Single Gene iModulon that captures EspL knockout,KO
63,SG_9,False,-0.0030447171,,Single Gene iModulon 9,Single Gene
45,SigD,False,-0.002977341,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
22,SG_3,False,-0.0029254752,,Single Gene iModulon 3,Single Gene
37,Rv3095,False,0.0028423381000000003,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
44,SG_6,False,0.0027309417,,Single Genes iModulon 6,Single Gene
21,MprA,False,-0.0023680787000000003,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
11,EccE1 KO,False,0.0020215769,,Single Gene iModulon that captures EccE1 knockout,KO
2,IniR,False,0.0019945534,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
39,SigC,False,-0.0018166524000000001,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
50,Unc_6,False,0.0018033078000000001,,Uncharacterized iModulon 6,Uncharacterized
8,IdeR,False,-0.0017809262,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related
19,WhiB6,False,0.0016545337000000002,whiB6,Transcription factor that regulates ESX-1 system membrane transport proteins,Redox
52,DevR-2,False,-0.0016113131,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
75,Unc_9,False,-0.0014895109,,Uncharacterized iModulon 9,Uncharacterized
59,Rv0576,False,0.0014285246,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
60,Rv0681,False,-0.0012757924000000001,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
17,VirS,False,0.0011249674,virS,Transcription factor that is activated and responds to acidic environments,Redox
70,Lsr2,False,0.0010128221,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
29,Blal,False,-0.0006584312,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
67,Peptidoglycan Biosynthesis,False,-0.0006434861,,iModulon enriched with the Peptidoglycan biosyntehsis KEGG pathway,Central Carbon
61,Nucleic Acid Hydrolysis ,False,0.0005084885,,iModulon enriched with the Nucleic Acid Hydrolysis KEGG pathway,Nucleic Acids
